Date,Shift,Temperature,Pressure,Speed,Torque,Downtime_min,Production_Output
2024-01-05 03:00:00,A,73.12,104.53,1562,29.18,3.47,494.4
2024-01-05 04:00:00,A,63.68,109.08,1680,33.54,2.83,494.3
2024-01-05 05:00:00,A,71.63,88.93,1000,46.0,3.06,479.3
2024-01-05 06:00:00,A,72.26,110.44,1876,29.83,1.17,509.8
2024-01-05 07:00:00,A,68.58,116.27,1475,28.61,2.3,528.7
2024-01-05 08:00:00,B,73.71,104.96,1699,31.14,2.31,512.6
2024-01-05 09:00:00,B,78.23,122.52,1313,27.37,0.27,523.6
2024-01-05 10:00:00,B,90.09,90.71,1610,35.98,7.3,515.5
2024-01-05 11:00:00,B,76.4,85.06,1310,48.0,2.69,474.6
2024-01-05 12:00:00,B,77.06,78.66,1388,37.58,8.63,468.4
2024-01-05 13:00:00,B,74.4,117.95,1845,32.98,9.5,619.0
2024-01-05 14:00:00,B,59.65,107.85,1466,32.67,1.19,487.7
2024-01-05 15:00:00,B,74.79,99.33,1539,22.49,5.36,492.7
2024-01-05 16:00:00,C,75.48,103.36,1657,42.06,3.2,481.1
2024-01-05 17:00:00,C,94.71,86.49,1589,34.38,10.61,474.3
2024-01-05 18:00:00,C,73.46,129.35,1527,33.56,1.22,589.2
2024-01-05 19:00:00,C,77.41,101.55,1566,55.0,5.66,502.5
2024-01-05 20:00:00,C,74.72,101.31,1933,37.39,4.68,486.6
2024-01-05 21:00:00,C,65.65,108.71,1490,28.99,1.75,478.7
2024-01-05 22:00:00,C,84.14,105.77,1536,31.59,0.73,537.9
2024-01-05 23:00:00,C,81.02,102.69,1689,44.19,5.27,512.1
2024-01-06 00:00:00,A,81.33,90.51,1699,35.91,6.71,506.5
2024-01-06 01:00:00,A,67.72,105.66,1714,23.49,1.9,516.2
2024-01-06 02:00:00,A,86.22,122.58,1615,42.35,5.18,519.3
2024-01-06 03:00:00,A,63.79,116.15,1294,29.65,2.51,592.3
2024-01-06 04:00:00,A,79.69,119.12,1794,49.99,6.24,510.5
2024-01-06 05:00:00,A,92.52,93.87,1294,43.64,1.11,458.9
2024-01-06 06:00:00,A,67.08,88.12,1554,31.42,11.05,454.0
2024-01-06 07:00:00,A,70.47,98.49,1364,45.25,1.69,463.4
2024-01-06 08:00:00,B,75.8,100.67,1488,35.54,2.29,505.9
2024-01-06 09:00:00,B,70.97,113.13,1559,41.82,0.3,570.5
2024-01-06 10:00:00,B,62.59,79.69,1558,38.88,0.59,483.2
2024-01-06 11:00:00,B,75.55,118.35,1576,28.23,3.63,516.9
2024-01-06 12:00:00,B,66.5,98.1,1790,29.85,1.56,530.9
2024-01-06 13:00:00,B,78.79,94.88,1582,43.24,9.02,484.4
2024-01-06 14:00:00,B,67.64,87.85,1456,32.32,0.07,500.1
2024-01-06 15:00:00,B,87.4,80.14,1674,31.77,2.38,524.7
2024-01-06 16:00:00,C,68.73,109.88,1714,27.36,2.06,562.7
2024-01-06 17:00:00,C,72.42,100.88,1279,38.39,0.1,470.2
2024-01-06 18:00:00,C,81.51,84.52,1608,51.5,0.66,501.5
2024-01-06 19:00:00,C,65.15,84.46,1626,26.46,2.67,472.7
2024-01-06 20:00:00,C,76.82,95.97,1446,35.19,3.39,505.3
2024-01-06 21:00:00,C,85.46,120.03,1748,46.3,2.59,512.2
2024-01-06 22:00:00,C,62.14,96.88,1473,34.36,3.79,469.8
2024-01-06 23:00:00,C,76.48,81.96,1523,38.62,4.52,473.1
2024-01-07 00:00:00,A,77.08,97.05,1469,26.5,0.05,536.4
2024-01-07 01:00:00,A,81.25,96.73,1503,38.43,3.12,519.1
2024-01-07 02:00:00,A,65.1,70.0,1303,33.5,16.55,382.9
2024-01-07 03:00:00,A,64.44,99.35,1241,42.89,3.66,464.2
2024-01-07 04:00:00,A,79.18,97.23,1787,44.5,5.66,483.6
2024-01-07 05:00:00,A,77.38,108.35,1348,55.0,1.87,460.2
2024-01-07 06:00:00,A,77.0,122.19,1322,39.64,7.44,486.2
2024-01-07 07:00:00,A,77.77,113.52,1112,37.61,7.41,470.0
2024-01-07 08:00:00,B,69.56,96.77,1385,36.56,3.68,529.2
2024-01-07 09:00:00,B,76.86,86.72,1262,32.17,18.65,435.9
2024-01-07 10:00:00,B,77.34,130.0,1796,37.71,0.67,519.0
2024-01-07 11:00:00,B,69.29,100.71,1682,32.64,0.09,503.6
2024-01-07 12:00:00,B,89.93,100.17,1376,36.35,7.35,515.2
2024-01-07 13:00:00,B,78.79,99.71,1905,45.54,8.23,537.0
2024-01-07 14:00:00,B,65.47,102.38,1677,26.95,0.64,483.4
2024-01-07 15:00:00,B,80.25,98.27,1442,44.12,1.54,459.9
2024-01-07 16:00:00,C,67.2,93.12,1050,45.54,0.09,499.2
2024-01-07 17:00:00,C,81.3,93.44,1912,34.06,1.74,535.6
2024-01-07 18:00:00,C,84.27,99.61,1250,18.03,7.42,482.0
2024-01-07 19:00:00,C,68.43,93.48,1204,30.14,3.65,484.9
2024-01-07 20:00:00,C,82.71,91.45,1684,45.38,2.14,451.0
2024-01-07 21:00:00,C,78.3,101.28,1939,34.82,2.32,529.1
2024-01-07 22:00:00,C,81.58,96.94,1749,27.01,0.01,542.4
2024-01-07 23:00:00,C,90.17,118.05,1602,30.96,1.78,484.0
2024-01-08 00:00:00,A,73.04,70.0,1607,41.72,5.2,443.8
2024-01-08 01:00:00,A,68.97,113.1,1654,39.37,18.29,454.3
2024-01-08 02:00:00,A,67.88,114.95,1637,33.09,9.39,470.8
2024-01-08 03:00:00,A,68.47,75.12,1551,32.07,0.12,492.4
2024-01-08 04:00:00,A,74.38,95.89,1519,31.87,11.44,452.1
2024-01-08 05:00:00,A,77.73,95.54,1489,27.62,7.64,481.6
2024-01-08 06:00:00,A,77.21,83.11,1364,47.92,7.58,433.0
2024-01-08 07:00:00,A,81.62,90.67,1449,32.42,3.06,512.8
2024-01-08 08:00:00,B,75.1,86.67,1195,44.74,2.54,482.8
2024-01-08 09:00:00,B,86.63,121.03,1482,47.17,1.8,516.7
2024-01-08 10:00:00,B,72.88,111.23,1322,42.99,0.34,499.1
2024-01-08 11:00:00,B,95.0,115.26,1301,31.55,1.3,506.2
2024-01-08 12:00:00,B,80.01,108.66,1532,38.23,1.42,510.4
2024-01-08 13:00:00,B,68.14,86.45,1751,34.81,3.31,491.1
2024-01-08 14:00:00,B,66.43,93.71,1665,27.77,6.88,538.5
2024-01-08 15:00:00,B,78.86,105.87,1217,37.59,3.21,469.1
2024-01-08 16:00:00,C,73.21,85.33,1322,25.57,0.3,524.9
2024-01-08 17:00:00,C,80.71,108.56,1669,44.5,15.83,487.2
2024-01-08 18:00:00,C,78.79,97.12,1323,31.28,14.3,462.7
2024-01-08 19:00:00,C,74.42,95.5,1460,36.61,7.69,510.3
2024-01-08 20:00:00,C,68.23,108.53,1599,37.27,23.74,435.7
2024-01-08 21:00:00,C,62.88,105.33,1326,32.93,3.93,487.1
2024-01-08 22:00:00,C,71.43,95.67,1519,39.69,16.45,439.9
2024-01-08 23:00:00,C,81.85,113.91,1260,31.2,0.39,544.2
2024-01-09 00:00:00,A,76.71,87.03,1392,41.97,2.28,503.3
2024-01-09 01:00:00,A,65.03,107.39,1558,24.23,1.28,500.6
2024-01-09 02:00:00,A,76.39,107.12,1213,36.01,1.09,471.8
2024-01-09 03:00:00,A,78.08,96.29,1579,50.51,0.76,492.5
2024-01-09 04:00:00,A,67.93,103.91,1496,27.0,4.87,479.4
2024-01-09 05:00:00,A,76.23,84.99,1599,29.58,7.6,482.0
2024-01-09 06:00:00,A,75.47,111.09,1540,39.11,4.32,527.0
2024-01-09 07:00:00,A,65.86,97.78,1746,36.44,0.79,496.2
2024-01-09 08:00:00,B,77.86,93.73,1523,37.81,8.33,476.7
2024-01-09 09:00:00,B,79.49,112.59,1423,38.91,5.05,501.2
2024-01-09 10:00:00,B,83.66,91.55,1522,40.08,2.46,518.0
2024-01-09 11:00:00,B,83.43,83.1,1598,43.88,5.61,438.0
2024-01-09 12:00:00,B,63.98,81.32,1509,38.28,1.5,461.6
2024-01-09 13:00:00,B,67.5,107.27,1507,33.07,2.12,505.9
2024-01-09 14:00:00,B,79.12,84.63,1374,40.38,12.47,561.3
2024-01-09 15:00:00,B,79.11,121.06,1381,50.2,1.72,494.8
2024-01-09 16:00:00,C,79.12,75.02,1248,33.94,3.17,434.8
2024-01-09 17:00:00,C,95.0,120.36,1815,27.2,11.04,547.6
2024-01-09 18:00:00,C,79.57,102.53,1276,43.86,6.15,463.2
2024-01-09 19:00:00,C,84.08,98.84,1375,34.04,0.32,489.8
2024-01-09 20:00:00,C,82.63,93.46,1371,17.62,0.8,509.6
2024-01-09 21:00:00,C,80.21,104.79,1661,41.78,0.04,517.5
2024-01-09 22:00:00,C,72.48,99.55,1447,30.72,4.98,478.7
2024-01-09 23:00:00,C,81.07,113.24,1725,34.28,2.97,485.3
2024-01-10 00:00:00,A,68.82,101.37,1379,37.66,0.72,510.4
2024-01-10 01:00:00,A,73.11,101.8,1550,36.52,15.84,480.2
2024-01-10 02:00:00,A,71.12,95.64,1350,40.68,3.77,488.5
2024-01-10 03:00:00,A,75.65,99.32,1886,31.52,1.38,505.4
2024-01-10 04:00:00,A,93.52,103.69,1286,39.1,3.47,504.2
2024-01-10 05:00:00,A,60.06,79.48,1556,32.92,5.69,460.5
2024-01-10 06:00:00,A,80.49,83.82,1614,40.91,0.4,514.0
2024-01-10 07:00:00,A,62.1,108.92,1574,39.92,1.61,508.2
2024-01-10 08:00:00,B,71.22,102.05,1467,27.52,8.22,469.5
2024-01-10 09:00:00,B,83.71,97.79,1477,43.69,3.08,499.7
2024-01-10 10:00:00,B,75.51,100.22,1508,30.71,3.95,510.8
2024-01-10 11:00:00,B,66.38,104.17,1474,41.46,2.84,514.4
2024-01-10 12:00:00,B,69.28,93.52,1673,37.94,0.22,517.0
2024-01-10 13:00:00,B,80.44,90.66,1898,49.71,0.91,526.9
2024-01-10 14:00:00,B,69.16,102.35,1400,33.21,2.95,493.0
2024-01-10 15:00:00,B,76.73,88.26,1253,32.21,1.17,517.3
2024-01-10 16:00:00,C,75.36,104.9,1484,34.84,0.26,521.0
2024-01-10 17:00:00,C,69.79,79.57,1964,32.57,9.28,463.3
2024-01-10 18:00:00,C,92.15,112.35,1355,41.4,19.87,485.4
2024-01-10 19:00:00,C,80.07,105.67,1795,22.07,7.88,534.7
2024-01-10 20:00:00,C,58.8,103.07,1802,26.57,9.61,474.0
2024-01-10 21:00:00,C,76.49,111.79,1400,26.46,1.39,510.3
2024-01-10 22:00:00,C,69.71,119.99,1602,42.6,16.17,466.5
2024-01-10 23:00:00,C,81.82,112.17,1793,48.68,1.1,534.3
2024-01-11 00:00:00,A,68.66,77.91,1432,34.16,15.12,433.2
2024-01-11 01:00:00,A,74.08,84.65,1463,33.65,26.31,410.3
2024-01-11 02:00:00,A,79.04,92.5,1395,35.56,6.22,515.3
2024-01-11 03:00:00,A,81.93,100.31,1317,44.3,19.85,452.1
2024-01-11 04:00:00,A,65.4,106.21,1383,27.58,4.21,494.1
2024-01-11 05:00:00,A,72.32,91.29,1280,36.91,1.5,500.5
2024-01-11 06:00:00,A,71.2,102.24,1506,42.8,2.87,469.0
2024-01-11 07:00:00,A,69.77,90.94,1361,39.01,4.5,477.7
2024-01-11 08:00:00,B,89.12,92.66,1542,36.52,0.38,556.5
2024-01-11 09:00:00,B,78.24,83.12,1220,43.01,4.87,457.0
2024-01-11 10:00:00,B,64.91,88.92,1560,15.0,19.86,425.5
2024-01-11 11:00:00,B,82.34,83.78,1650,40.42,1.05,491.2
2024-01-11 12:00:00,B,91.98,88.29,1141,29.77,7.87,459.0
2024-01-11 13:00:00,B,83.26,112.64,1567,20.35,11.92,490.6
2024-01-11 14:00:00,B,62.85,88.61,1721,39.09,14.39,435.5
2024-01-11 15:00:00,B,71.13,130.0,1282,45.99,16.11,423.0
2024-01-11 16:00:00,C,85.14,105.92,1801,33.9,3.69,530.5
2024-01-11 17:00:00,C,69.34,102.22,1575,42.62,18.93,452.9
2024-01-11 18:00:00,C,78.55,89.7,1373,47.9,7.08,443.8
2024-01-11 19:00:00,C,81.2,108.4,1490,45.52,0.88,540.4
2024-01-11 20:00:00,C,67.58,93.09,1600,48.12,3.24,486.4
2024-01-11 21:00:00,C,74.52,101.46,1514,40.94,6.34,503.8
2024-01-11 22:00:00,C,55.0,130.0,1597,35.6,1.42,496.1
2024-01-11 23:00:00,C,66.8,98.85,1334,22.18,5.12,503.0
2024-01-12 00:00:00,A,72.98,113.79,1530,33.03,5.49,481.0
2024-01-12 01:00:00,A,65.02,91.56,1246,28.25,0.89,500.0
2024-01-12 02:00:00,A,88.06,99.58,1480,52.37,4.16,495.8
2024-01-12 03:00:00,A,63.56,121.25,1337,33.59,7.38,491.8
2024-01-12 04:00:00,A,71.48,92.48,1368,35.99,3.45,456.5
2024-01-12 05:00:00,A,76.05,121.75,1722,39.41,0.06,517.3
2024-01-12 06:00:00,A,86.53,108.49,1696,35.35,0.05,551.9
2024-01-12 07:00:00,A,63.51,93.25,1610,48.56,2.21,456.0
2024-01-12 08:00:00,B,84.31,107.59,1303,30.02,13.03,486.0
2024-01-12 09:00:00,B,75.08,111.67,1443,36.56,1.3,483.1
2024-01-12 10:00:00,B,67.15,107.46,1718,29.06,5.03,522.8
2024-01-12 11:00:00,B,78.7,81.16,1526,24.44,1.26,482.2
2024-01-12 12:00:00,B,76.59,91.27,1917,30.11,1.94,535.0
2024-01-12 13:00:00,B,70.2,97.03,1571,34.7,9.42,485.2
2024-01-12 14:00:00,B,75.56,99.11,1535,31.57,6.53,478.3
2024-01-12 15:00:00,B,71.92,107.45,1444,29.46,0.5,524.9
2024-01-12 16:00:00,C,75.91,102.13,1524,23.75,2.8,520.7
2024-01-12 17:00:00,C,80.3,83.98,1473,34.34,0.15,491.5
2024-01-12 18:00:00,C,87.69,104.56,1627,22.96,3.28,515.6
2024-01-12 19:00:00,C,65.1,107.33,1672,41.08,5.43,448.3
2024-01-12 20:00:00,C,92.06,106.72,1359,35.66,0.63,452.9
2024-01-12 21:00:00,C,59.38,112.97,1260,23.34,1.7,464.1
2024-01-12 22:00:00,C,73.79,110.01,1169,32.53,2.54,495.5
2024-01-12 23:00:00,C,79.71,105.51,1591,28.98,12.6,481.3
2024-01-13 00:00:00,A,77.25,99.16,1301,37.55,24.99,425.6
2024-01-13 01:00:00,A,70.02,80.07,1112,45.72,0.23,451.1
2024-01-13 02:00:00,A,73.34,105.16,1570,20.0,7.16,589.0
2024-01-13 03:00:00,A,71.06,102.49,1949,35.92,2.32,535.3
2024-01-13 04:00:00,A,70.29,103.26,1499,33.72,2.49,506.2
2024-01-13 05:00:00,A,81.8,84.68,1651,40.37,7.02,489.8
2024-01-13 06:00:00,A,77.86,87.03,1515,36.71,12.53,467.6
2024-01-13 07:00:00,A,69.46,112.64,1482,28.98,15.07,435.1
2024-01-13 08:00:00,B,82.2,99.53,1665,32.45,4.3,529.2
2024-01-13 09:00:00,B,77.46,108.18,1448,28.63,2.21,527.8
2024-01-13 10:00:00,B,81.5,100.34,1548,43.61,7.75,464.4
2024-01-13 11:00:00,B,80.04,100.36,1558,35.17,1.45,509.1
2024-01-13 12:00:00,B,68.37,111.26,1380,50.21,4.15,474.5
2024-01-13 13:00:00,B,70.52,93.81,1679,34.51,2.22,498.6
2024-01-13 14:00:00,B,80.98,101.15,1469,29.33,5.34,510.2
2024-01-13 15:00:00,B,79.88,94.45,1364,22.89,1.37,540.5
2024-01-13 16:00:00,C,74.83,94.79,1597,20.57,1.06,542.8
2024-01-13 17:00:00,C,75.94,96.29,1338,22.33,12.52,442.7
2024-01-13 18:00:00,C,85.22,102.67,1505,37.14,0.54,533.1
2024-01-13 19:00:00,C,70.27,94.26,1498,39.07,3.53,509.8
2024-01-13 20:00:00,C,79.38,115.07,1695,22.35,1.25,553.1
2024-01-13 21:00:00,C,73.38,89.26,1585,42.16,0.2,517.7
2024-01-13 22:00:00,C,73.26,97.76,1495,31.14,0.18,549.4
2024-01-13 23:00:00,C,83.79,94.72,1647,36.17,0.96,539.6
2024-01-14 00:00:00,A,81.6,117.36,1750,47.9,10.08,501.1
2024-01-14 01:00:00,A,81.51,102.36,1600,42.17,1.66,532.6
2024-01-14 02:00:00,A,85.44,112.38,1502,32.85,15.02,485.0
2024-01-14 03:00:00,A,75.17,82.17,1264,27.87,4.36,476.5
2024-01-14 04:00:00,A,80.46,103.2,1308,17.79,2.87,509.7
2024-01-14 05:00:00,A,72.52,110.68,1445,29.25,4.34,454.7
2024-01-14 06:00:00,A,77.59,100.99,1390,33.31,3.64,481.0
2024-01-14 07:00:00,A,73.96,112.79,1466,27.1,7.11,531.0
2024-01-14 08:00:00,B,75.78,93.79,1510,33.95,1.66,511.7
2024-01-14 09:00:00,B,79.76,116.91,1595,35.61,2.18,497.8
2024-01-14 10:00:00,B,68.45,127.59,1487,33.2,11.23,493.4
2024-01-14 11:00:00,B,91.74,95.65,1588,29.8,14.64,443.0
2024-01-14 12:00:00,B,66.95,94.65,1512,36.35,11.15,468.8
2024-01-14 13:00:00,B,65.29,117.44,1144,38.54,2.72,499.2
2024-01-14 14:00:00,B,84.26,118.95,1331,26.28,7.58,498.2
2024-01-14 15:00:00,B,81.33,93.73,1474,46.29,3.23,491.1
2024-01-14 16:00:00,C,79.99,94.96,1282,34.21,3.44,528.9
2024-01-14 17:00:00,C,80.03,96.62,1608,35.15,1.15,424.5
2024-01-14 18:00:00,C,74.9,83.87,1776,40.67,4.47,468.3
2024-01-14 19:00:00,C,67.82,88.98,1719,36.87,1.03,527.7
2024-01-14 20:00:00,C,75.61,87.95,1462,42.63,2.01,523.7
2024-01-14 21:00:00,C,69.58,90.79,1768,37.3,9.66,473.5
2024-01-14 22:00:00,C,82.8,99.58,1527,30.1,1.16,541.4
2024-01-14 23:00:00,C,73.82,102.81,1439,37.89,0.37,530.4
2024-01-15 00:00:00,A,68.4,118.61,1390,25.85,0.36,424.5
2024-01-15 01:00:00,A,72.43,88.02,1446,35.87,14.13,434.6
2024-01-15 02:00:00,A,78.3,111.81,1430,34.73,3.54,532.4
2024-01-15 03:00:00,A,70.49,97.43,1531,33.34,2.63,530.2
2024-01-15 04:00:00,A,68.42,99.41,1529,33.97,8.33,486.2
2024-01-15 05:00:00,A,76.95,108.1,1501,19.95,9.03,484.7
2024-01-15 06:00:00,A,76.96,86.53,1579,30.61,2.02,542.6
2024-01-15 07:00:00,A,70.94,104.59,1714,35.74,5.91,487.5
2024-01-15 08:00:00,B,71.23,102.0,1671,36.28,7.37,481.8
2024-01-15 09:00:00,B,76.86,105.91,1233,26.78,5.32,500.1
2024-01-15 10:00:00,B,63.42,103.47,1040,45.13,0.82,494.0
2024-01-15 11:00:00,B,63.74,129.46,1668,28.07,10.43,516.0
2024-01-15 12:00:00,B,69.25,92.35,1254,42.76,3.87,471.7
2024-01-15 13:00:00,B,73.29,93.63,1460,38.42,1.66,500.9
2024-01-15 14:00:00,B,77.49,92.52,1289,29.83,2.77,492.8
2024-01-15 15:00:00,B,86.8,93.33,1176,49.2,0.19,498.9
2024-01-15 16:00:00,C,81.86,92.35,1597,25.45,0.68,473.6
2024-01-15 17:00:00,C,73.72,114.27,1637,42.35,7.25,488.0
2024-01-15 18:00:00,C,74.85,117.05,1396,43.0,0.0,515.1
2024-01-15 19:00:00,C,66.98,93.15,1034,29.64,2.69,444.5
2024-01-15 20:00:00,C,74.85,90.01,1402,46.14,3.7,480.6
2024-01-15 21:00:00,C,72.69,105.66,1571,33.0,0.28,512.2
2024-01-15 22:00:00,C,77.58,93.37,1234,37.31,18.07,464.0
2024-01-15 23:00:00,C,68.38,107.6,1533,37.08,1.28,534.7
2024-01-16 00:00:00,A,79.15,102.44,1497,33.93,1.81,502.2
2024-01-16 01:00:00,A,87.26,81.81,1604,41.49,1.81,499.5
2024-01-16 02:00:00,A,74.13,118.57,1522,41.35,1.31,512.5
2024-01-16 03:00:00,A,78.21,121.55,1325,21.01,0.01,527.3
2024-01-16 04:00:00,A,80.52,92.65,1715,45.43,6.53,492.1
2024-01-16 05:00:00,A,71.79,95.35,1471,21.7,17.03,439.5
